iter	Passed	Remaining
756	9094	2919
757	9104	2906
758	9115	2894
759	9126	2881
760	9136	2869
761	9148	2857
762	9160	2845
763	9170	2832
764	9181	2820
765	9195	2809
766	9207	2797
767	9217	2784
768	9228	2772
769	9239	2759
770	9249	2747
771	9262	2735
772	9298	2730
773	9329	2724
774	9342	2712
775	9370	2704
776	9380	2692
777	9392	2680
778	9403	2667
779	9414	2655
780	9425	2642
781	9435	2630
782	9446	2617
783	9457	2605
784	9469	2593
785	9478	2580
786	9489	2568
787	9500	2555
788	9511	2543
789	9527	2532
790	9539	2520
791	9549	2508
792	9560	2495
793	9571	2483
794	9582	2471
795	9593	2458
796	9605	2446
797	9614	2433
798	9625	2421
799	9637	2409
800	9646	2396
801	9657	2384
802	9669	2372
803	9680	2360
804	9691	2347
805	9702	2335
806	9712	2322
807	9725	2310
808	9737	2298
809	9747	2286
810	9758	2274
811	9769	2262
812	9781	2249
813	9792	2237
814	9804	2225
815	9815	2213
816	9825	2200
817	9838	2188
818	9850	2177
819	9861	2164
820	9873	2152
821	9884	2140
822	9894	2128
823	9905	2115
824	9916	2103
825	9926	2091
826	9937	2078
827	9949	2066
828	9959	2054
829	9969	2041
830	9980	2029
831	9992	2017
832	10003	2005
833	10014	1993
834	10024	1980
835	10035	1968
836	10046	1956
837	10056	1944
838	10066	1931
839	10076	1919
840	10087	1907
841	10098	1895
842	10111	1883
843	10121	1870
844	10132	1858
845	10142	1846
846	10153	1834
847	10163	1821
848	10175	1809
849	10188	1798
850	10202	1786
851	10218	1775
852	10231	1763
853	10245	1751
854	10257	1739
855	10269	1727
856	10282	1715
857	10294	1703
858	10306	1691
859	10317	1679
860	10328	1667
861	10338	1655
862	10350	1643
863	10360	1630
864	10370	1618
865	10381	1606
866	10393	1594
867	10411	1583
868	10422	1571
869	10433	1559
870	10447	1547
871	10459	1535
872	10470	1523
873	10483	1511
874	10496	1499
875	10507	1487
876	10519	1475
877	10530	1463
878	10541	1451
879	10551	1438
880	10561	1426
881	10572	1414
882	10582	1402
883	10594	1390
884	10604	1377
885	10617	1366
886	10629	1354
887	10640	1342
888	10651	1329
889	10661	1317
890	10671	1305
891	10682	1293
892	10695	1281
893	10706	1269
894	10718	1257
895	10729	1245
896	10740	1233
897	10750	1221
898	10761	1208
899	10772	1196
900	10782	1184
901	10792	1172
902	10803	1160
903	10815	1148
904	10827	1136
905	10838	1124
906	10849	1112
907	10863	1100
908	10875	1088
909	10885	1076
910	10895	1064
911	10906	1052
912	10918	1040
913	10930	1028
914	10941	1016
915	10952	1004
916	10962	992
917	10974	980
918	10985	968
919	10995	956
920	11006	944
921	11016	932
922	11028	920
923	11039	908
924	11050	896
925	11061	883
926	11073	872
927	11084	859
928	11093	847
929	11105	835
930	11115	823
931	11129	811
932	11140	799
933	11151	787
934	11160	775
935	11171	763
936	11183	751
937	11193	739
938	11204	727
939	11215	715
940	11227	703
941	11238	691
942	11249	679
943	11258	667
944	11272	656
945	11284	644
946	11298	632
947	11311	620
948	11323	608
949	11337	596
950	11350	584
951	11360	572
952	11371	560
953	11382	548
954	11392	536
955	11403	524
956	11417	513
957	11429	501
958	11441	489
959	11452	477
960	11464	465
961	11474	453
962	11485	441
963	11496	429
964	11507	417
965	11518	405
966	11530	393
967	11541	381
968	11553	369
969	11566	357
970	11577	345
971	11587	333
972	11598	321
973	11609	309
974	11620	297
975	11631	286
976	11643	274
977	11654	262
978	11665	250
979	11677	238
980	11687	226
981	11698	214
982	11709	202
983	11720	190
984	11732	178
985	11743	166
986	11755	154
987	11765	142
988	11777	130
989	11787	119
990	11799	107
991	11811	95
992	11822	83
993	11833	71
994	11844	59
995	11855	47
996	11868	35
997	11879	23
998	11889	11
999	11900	0
